Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000211722	7	141823636	141824097
ENSG00000211719	7	141793461	141793910
ENSG00000211718	7	141776154	141776601
ENSG00000211717	7	141768395	141768844
ENSG00000179640	17	53589359	53590164
ENSG00000211716	7	141760404	141760878
ENSG00000211713	7	141749279	141749713
ENSG00000211712	7	141720969	141721465
ENSG00000211710	7	141709095	141709548
ENSG00000211709	7	141695655	141696087
ENSG00000211708	7	141691835	141692288
ENSG00000211707	7	141678521	141679009
ENSG00000211706	7	141674660	141675092
ENSG00000197862	17	52710674	52711053
ENSG00000211704	7	141659531	141659984
ENSG00000211703	7	141654907	141655366
ENSG00000181676	3	152480500	152480815
ENSG00000208363	7	139721834	139721935
ENSG00000217362	9	27598385	27600743
ENSG00000208756	3	151278206	151278308
ENSG00000200710	1	172099907	172099983
ENSG00000221274	15	51017859	51017946
ENSG00000211589	17	11925941	11926038
ENSG00000203334	11	108334980	108335354
ENSG00000220939	c6_QBL	33277271	33279173
ENSG00000200406	14	100519966	100520037
ENSG00000207583	10	76982222	76982317
ENSG00000207575	22	19718465	19718561
ENSG00000221585	3	47866049	47866123
ENSG00000222912	7	137510331	137510422
ENSG00000181814	3	144377817	144379997
ENSG00000219415	9	26870176	26870547
ENSG00000176868	9	133364617	133365358
ENSG00000209804	1	28847699	28847832
ENSG00000203347	19	51272384	51272486
ENSG00000220520	9	23671892	23672660
ENSG00000199051	X	85045297	85045368
ENSG00000222788	1	143656029	143656218
ENSG00000199675	11	93094611	93094680
ENSG00000179093	2	105865912	105866276
ENSG00000207988	4	110629303	110629400
ENSG00000207547	7	99529119	99529202
ENSG00000217432	9	23622104	23622353
ENSG00000212283	2	101255830	101255943
ENSG00000221273	11	63892650	63892751
ENSG00000221265	4	102470482	102470594
ENSG00000219445	7	128089691	128090285
ENSG00000217177	c6_QBL	28894276	28894647
ENSG00000207701	8	9636592	9636688
ENSG00000207821	19	19406872	19406967
ENSG00000212498	20	2584743	2584828
ENSG00000202515	5	140085928	140086009
ENSG00000208883	X	109354869	109354947
ENSG00000207726	9	116011535	116011630
ENSG00000208009	11	57165247	57165335
ENSG00000202526	1	226839466	226839584
ENSG00000207638	21	16833280	16833360
ENSG00000207314	1	28779480	28779611
ENSG00000197882	11	86221278	86221791
ENSG00000197180	X	153309731	153309989
ENSG00000213302	7	121661821	121662197
ENSG00000188904	1	37727905	37728116
ENSG00000210938	12	92427394	92427676
ENSG00000216459	9	22737699	22738227
ENSG00000207786	18	17659657	17659744
ENSG00000209702	19	12678263	12678332
ENSG00000199574	15	64580642	64580710
ENSG00000199025	14	100601688	100601757
ENSG00000212616	2	233862061	233862325
ENSG00000207705	7	127635161	127635232
ENSG00000207615	19	58880075	58880157
ENSG00000207315	14	102873939	102874064
ENSG00000207549	19	58911660	58911746
ENSG00000221462	17	59577431	59577563
ENSG00000207959	14	100602814	100602891
ENSG00000219663	1	50353196	50353541
ENSG00000211635	2	89897079	89897555
ENSG00000211634	2	89886225	89886702
ENSG00000211630	2	89830253	89830729
ENSG00000203357	12	79854446	79855824
ENSG00000211626	2	89745835	89746387
ENSG00000211621	2	89613009	89613796
ENSG00000185162	11	74087037	74087517
ENSG00000211619	2	89410986	89411308
ENSG00000211618	2	89400496	89400972
ENSG00000211617	2	89378134	89378610
ENSG00000211616	2	89348871	89349347
ENSG00000211615	2	89325377	89326164
ENSG00000211613	2	89294021	89294497
ENSG00000211610	2	89223170	89223706
ENSG00000211609	2	89197946	89198423
ENSG00000218432	c6_QBL	31629028	31629607
ENSG00000211608	2	89180465	89180942
ENSG00000211605	2	89107781	89108296
ENSG00000211604	2	89090592	89091069
ENSG00000211602	2	89059100	89059618
ENSG00000211601	2	89046894	89047372
ENSG00000211600	2	89027932	89028409
ENSG00000213271	12	77711432	77712025
ENSG00000211599	2	88977926	88978417
ENSG00000198048	11	73882133	73886934
ENSG00000186995	17	38909092	38909559
ENSG00000207784	X	133503037	133503133
ENSG00000221494	X	83367416	83367492
ENSG00000217297	9	21801620	21802346
ENSG00000211596	2	88942148	88942190
ENSG00000221419	10	100144965	100145054
ENSG00000200638	15	23034226	23034307
ENSG00000199537	15	23039854	23039935
ENSG00000201482	15	22997563	22997644
ENSG00000211592	2	88937989	88938311
ENSG00000218283	4	174773662	174774632
ENSG00000180632	12	73221167	73221414
ENSG00000207956	5	32430241	32430338
ENSG00000201692	1	172100588	172100669
ENSG00000222894	6	30691985	30692061
ENSG00000208011	1	153431592	153431687
ENSG00000207652	13	40282902	40282997
ENSG00000208000	X	146149742	146149835
ENSG00000209582	17	7418755	7418889
ENSG00000207710	X	133131505	133131573
ENSG00000207722	19	58896293	58896353
ENSG00000207761	14	100562875	100562954
ENSG00000207812	X	133131367	133131463
ENSG00000220090	9	21685175	21686948
ENSG00000220409	9	649986	650326
ENSG00000217440	9	21628344	21628648
ENSG00000216889	9	467856	468349
ENSG00000213279	16	82916775	82917402
ENSG00000180494	3	126905008	126905925
ENSG00000208754	7	104417781	104417996
ENSG00000217961	9	21445483	21446044
ENSG00000207975	1	197094625	197094734
ENSG00000199453	15	22987656	22987737
ENSG00000207713	12	6943123	6943190
ENSG00000201557	14	100508760	100508831
ENSG00000207946	19	58931911	58932000
ENSG00000213307	16	74826481	74827022
ENSG00000218339	9	21410233	21410812
ENSG00000207759	1	197094796	197094905
ENSG00000199437	9	138740377	138740512
ENSG00000218285	c6_COX	30571408	30572935
ENSG00000213385	7	102182826	102183622
ENSG00000219316	9	21393080	21393650
ENSG00000216500	9	42410	42680
ENSG00000220270	9	21388613	21389138
ENSG00000221120	3	185441887	185441971
ENSG00000206652	1	16713204	16713367
ENSG00000222949	NT_113932	31721	31911
ENSG00000199430	3	187988095	187988232
ENSG00000200264	14	19881074	19881406
ENSG00000207051	13	26727538	26727663
ENSG00000200367	14	100479541	100479614
ENSG00000213396	6	44169576	44169853
ENSG00000210604	12	65025766	65025866
ENSG00000174082	12	64914120	64915241
ENSG00000213343	12	64717273	64717761
ENSG00000221442	7	146706042	146706146
ENSG00000207951	2	188870464	188870560
ENSG00000221650	13	106981520	106981597
ENSG00000199089	10	134911006	134911115
ENSG00000198975	11	121522439	121522511
ENSG00000207817	12	12960030	12960119
ENSG00000206928	2	29003437	29003514
ENSG00000201772	7	45111030	45111166
ENSG00000206680	1	93075434	93075528
ENSG00000207743	14	100569845	100569926
ENSG00000206834	11	93104818	93104947
ENSG00000207647	2	219867077	219867166
ENSG00000201907	15	23036078	23036159
ENSG00000201659	X	46877014	46877169
ENSG00000221187	X	94204796	94204881
ENSG00000220319	9	21311299	21311826
ENSG00000206941	11	74789083	74789230
ENSG00000207991	9	125204625	125204703
ENSG00000202521	1	226826037	226826155
ENSG00000200169	1	44969314	44969429
ENSG00000207793	14	100420573	100420666
ENSG00000220149	c6_QBL	31467093	31467639
ENSG00000219749	9	21268054	21268618
ENSG00000218012	1	50255335	50255763
ENSG00000177242	16	69280411	69280940
ENSG00000207585	19	13846689	13846825
ENSG00000179157	6	43439314	43439986
ENSG00000216873	5	153751595	153751982
ENSG00000212566	12	6560901	6561036
ENSG00000221102	14	90662522	90662650
ENSG00000221393	7	18133368	18133457
ENSG00000221698	17	13387571	13387688
ENSG00000199060	17	1563941	1564035
ENSG00000221420	3	187987155	187987260
ENSG00000220551	c6_QBL	29935203	29936181
ENSG00000178972	4	144477238	144477793
ENSG00000218167	9	21221265	21221852
ENSG00000208956	2	69993331	69993434
ENSG00000199568	15	63375442	63375557
ENSG00000200983	11	8662350	8662479
ENSG00000200632	14	100477216	100477292
ENSG00000212384	14	100463432	100463503
ENSG00000185654	7	98981867	98987693
ENSG00000198800	3	110611215	110611583
ENSG00000178672	5	149808527	149809024
ENSG00000208016	19	58893451	58893537
ENSG00000223224	16	70349806	70349891
ENSG00000217614	9	21199188	21199778
ENSG00000209925	19	40758346	40758515
ENSG00000221614	14	100580288	100580373
ENSG00000203415	2	63599532	63600138
ENSG00000201416	20	36487260	36487393
ENSG00000216792	9	21180653	21181243
ENSG00000220135	9	21168594	21169187
ENSG00000203403	19	40321575	40322101
ENSG00000207827	6	72169975	72170045
ENSG00000199135	1	65296705	65296779
ENSG00000207787	X	53599909	53600027
ENSG00000185141	3	96138620	96139558
ENSG00000218992	9	21096404	21096908
ENSG00000217609	4	120544944	120545349
ENSG00000201544	1	210592781	210592915
ENSG00000221502	2	189551063	189551132
ENSG00000211137	15	60903209	60903293
ENSG00000180720	11	46363244	46363803
ENSG00000203400	11	64413874	64414334
ENSG00000200385	14	37259381	37259517
ENSG00000212326	2	29004353	29004430
ENSG00000212166	9	19053654	19053784
ENSG00000207279	15	22890277	22890368
ENSG00000207836	22	21495270	21495365
ENSG00000207754	14	100582545	100582628
ENSG00000207873	X	146102673	146102801
ENSG00000223255	17	31240624	31240921
ENSG00000207691	7	129201981	129202090
ENSG00000217901	9	21048770	21049322
ENSG00000217812	8	7436938	7437848
ENSG00000215381	1	23443836	23444311
ENSG00000210369	17	30445041	30445105
ENSG00000220905	9	20522550	20523337
ENSG00000213100	19	20935754	20938016
ENSG00000218510	1	22229736	22230209
ENSG00000211975	14	106269975	106270436
ENSG00000211973	14	106240967	106241412
ENSG00000211971	14	106184784	106185242
ENSG00000211968	14	106149416	106149853
ENSG00000201679	15	22993816	22993896
ENSG00000206874	11	62379340	62379414
ENSG00000211967	14	106119715	106120165
ENSG00000211966	14	106105772	106106207
ENSG00000211964	14	106064857	106065312
ENSG00000211962	14	106038092	106038529
ENSG00000211960	14	105997232	105997689
ENSG00000211957	14	105916366	105916819
ENSG00000211956	14	105900637	105901069
ENSG00000211953	14	105862048	105862501
ENSG00000211952	14	105851556	105851990
ENSG00000211951	14	105828694	105829137
ENSG00000211942	14	105657180	105657632
ENSG00000211939	14	105610122	105610560
ENSG00000211938	14	105589443	105589898
ENSG00000211936	14	105549153	105549584
ENSG00000211935	14	105542289	105542726
ENSG00000211933	14	105476654	105477101
ENSG00000211932	14	105456406	105456422
ENSG00000211930	14	105451263	105451293
ENSG00000211929	14	105450126	105450141
ENSG00000211927	14	105447314	105447331
ENSG00000211926	14	105446811	105446827
ENSG00000211925	14	105444114	105444144
ENSG00000211924	14	105441584	105441614
ENSG00000211921	14	105439552	105439574
ENSG00000211920	14	105438045	105438065
ENSG00000211917	14	105432537	105432573
ENSG00000211916	14	105431411	105431426
ENSG00000211915	14	105430445	105430464
ENSG00000211914	14	105428602	105428622
ENSG00000211913	14	105428094	105428110
ENSG00000211909	14	105420806	105420825
ENSG00000211907	14	105417937	105417956
ENSG00000211904	14	105402454	105402506
ENSG00000216770	9	20321444	20322275
ENSG00000213529	9	114164815	114165217
ENSG00000211901	14	105401069	105401119
ENSG00000196566	11	63149723	63150105
ENSG00000211896	14	105275144	105280452
ENSG00000211895	14	105244550	105246046
ENSG00000203445	2	46734881	46735068
ENSG00000221463	X	117404385	117404462
ENSG00000221560	12	111617222	111617364
ENSG00000202188	15	23023349	23023430
ENSG00000218087	9	19695336	19695653
ENSG00000201899	14	100520867	100520938
ENSG00000215938	1	152432765	152432843
ENSG00000200816	6	31698835	31698966
ENSG00000207716	4	10979549	10979643
ENSG00000209899	11	62340014	62340115
ENSG00000202373	15	23045438	23045519
ENSG00000207778	18	54269286	54269370
ENSG00000223105	NT_113932	95428	95618
ENSG00000221616	8	26962287	26962397
ENSG00000216135	3	10411173	10411246
ENSG00000213542	7	76582652	76583448
ENSG00000219629	9	19373220	19373878
ENSG00000218748	6	80203344	80203603
ENSG00000221349	19	62716187	62716253
ENSG00000207595	9	126494542	126494651
ENSG00000207930	10	24604620	24604716
ENSG00000206622	X	118805344	118805475
ENSG00000222855	NT_113958	155867	156482
ENSG00000207021	17	77150953	77151065
ENSG00000207118	11	122434827	122434913
ENSG00000207496	3	12856811	12856949
ENSG00000202270	14	100505038	100505112
ENSG00000200354	20	36495922	36496055
ENSG00000211582	14	100562110	100562197
ENSG00000207579	16	760184	760278
ENSG00000207810	19	58875006	58875089
ENSG00000218778	9	19190333	19191044
ENSG00000207468	10	120809513	120809640
ENSG00000199121	2	218975613	218975689
ENSG00000178189	3	55667516	55668123
ENSG00000208038	12	93752305	93752420
ENSG00000208010	8	9798308	9798392
ENSG00000207297	17	30924789	30924885
ENSG00000207177	5	110048394	110048527
ENSG00000200087	1	28707658	28707861
ENSG00000208018	20	48635730	48635823
ENSG00000207963	3	172307147	172307242
ENSG00000207311	1	28778863	28778992
ENSG00000213574	2	41900367	41901723
ENSG00000201700	14	100466009	100466080
ENSG00000207945	22	36570225	36570324
ENSG00000216654	9	19016890	19018127
ENSG00000203354	9	106578181	106578539
ENSG00000220881	8	7015482	7015673
ENSG00000207756	5	36183751	36183847
ENSG00000207582	8	135881945	135882032
ENSG00000221760	22	25281178	25281289
ENSG00000206609	15	22872169	22872260
ENSG00000207925	19	58920508	58920592
ENSG00000207960	7	157059789	157059875
ENSG00000217817	9	18707976	18708525
ENSG00000221269	9	99165657	99165784
ENSG00000202079	1	245524760	245524866
ENSG00000215991	14	22957036	22957112
ENSG00000209418	15	22781340	22781406
ENSG00000215952	1	164390604	164390659
ENSG00000207074	3	132680631	132680767
ENSG00000201750	17	18907959	18908174
ENSG00000207137	15	22875298	22875389
ENSG00000218361	8	6873573	6874421
ENSG00000221603	X	154340372	154340470
ENSG00000221311	1	20229	20366
ENSG00000207567	17	53763592	53763678
ENSG00000207088	3	130598743	130598881
ENSG00000216056	X	144917004	144917082
ENSG00000207063	15	22847717	22847811
ENSG00000202496	1	147872541	147872703
ENSG00000206625	15	65919331	65919437
ENSG00000176205	11	59001584	59002330
ENSG00000206838	7	45110473	45110606
ENSG00000207569	14	100417973	100418096
ENSG00000212304	20	47330627	47330716
ENSG00000221110	9	75095856	75095963
ENSG00000218953	9	17579159	17581316
ENSG00000215720	1	15390902	15391868
ENSG00000203390	1	14912036	14912453
ENSG00000220374	9	17437143	17438541
ENSG00000213547	16	31465624	31466532
ENSG00000220609	9	17098302	17098602
ENSG00000207805	11	2111940	2112015
ENSG00000221133	14	101096377	101096512
ENSG00000198411	14	94713733	94714969
ENSG00000207553	19	58903801	58903901
ENSG00000198974	1	40992614	40992705
ENSG00000216935	9	17086299	17086444
ENSG00000206674	19	45497225	45497331
ENSG00000218653	7	158205182	158205613
ENSG00000208028	12	56199213	56199309
ENSG00000207712	15	40279060	40279156
ENSG00000218275	9	16765576	16765855
ENSG00000199153	8	135886301	135886370
ENSG00000221669	7	34946897	34946971
ENSG00000182737	17	23627822	23628565
ENSG00000216939	1	49929528	49929783
ENSG00000219011	9	15517131	15517681
ENSG00000219514	9	15045054	15046032
ENSG00000213664	17	22631590	22632053
ENSG00000207773	19	50870026	50870122
ENSG00000211578	X	118664729	118664839
ENSG00000207703	15	86956060	86956169
ENSG00000199273	7	40134245	40134356
ENSG00000217201	7	154529043	154529294
ENSG00000220943	9	15024178	15038059
ENSG00000208620	8	123752711	123752813
ENSG00000221771	8	129042061	129042123
ENSG00000207764	20	60572564	60572665
ENSG00000221520	7	91671265	91671348
ENSG00000199798	14	100491460	100491529
ENSG00000221292	9	20144	20281
ENSG00000207728	5	54502231	54502327
ENSG00000218305	7	48934703	48936158
ENSG00000189343	17	19289875	19290757
ENSG00000199104	10	88014431	88014525
ENSG00000202347	13	113181231	113181394
ENSG00000199059	1	203684053	203684149
ENSG00000201326	15	23006158	23006239
ENSG00000217438	9	14583575	14584181
ENSG00000178069	14	91110277	91110709
ENSG00000203506	14	91022681	91023407
ENSG00000211307	15	63776225	63776328
ENSG00000217828	9	14521914	14522040
ENSG00000200154	1	31181122	31181207
ENSG00000207093	15	22866672	22866766
ENSG00000201813	2	196243341	196243443
ENSG00000207014	15	22853100	22853194
ENSG00000210825	11	93107925	93108050
ENSG00000201675	19	54685034	54685117
ENSG00000221782	2	212999232	212999329
ENSG00000207770	3	115518012	115518106
ENSG00000198987	3	161605227	161605307
ENSG00000223244	19	1767158	1767237
ENSG00000176993	9	91244746	91245065
ENSG00000207646	14	100585640	100585736
ENSG00000213253	19	13129721	13130692
ENSG00000206727	15	22869347	22869441
ENSG00000201925	1	226843938	226844056
ENSG00000207174	15	22877527	22877618
ENSG00000207262	20	2585585	2585656
ENSG00000208839	X	113771515	113771642
ENSG00000207871	X	146088254	146088337
ENSG00000201138	7	74848851	74848952
ENSG00000199005	14	100447229	100447303
ENSG00000207818	X	151313540	151313620
ENSG00000218212	9	14194247	14195038
ENSG00000199712	15	22968875	22968956
ENSG00000207993	14	100590777	100590849
ENSG00000222690	18	45267741	45267790
ENSG00000208004	14	100592280	100592359
ENSG00000179272	4	76111520	76111881
ENSG00000207931	4	115797364	115797459
ENSG00000212051	18	20155648	20155697
ENSG00000212447	9	124682313	124682423
ENSG00000220268	9	14058931	14059411
ENSG00000203399	9	87151056	87151557
ENSG00000202529	15	64581412	64581483
ENSG00000222785	17	2530992	2531278
ENSG00000200801	15	23018588	23018668
ENSG00000207562	11	110889374	110889450
ENSG00000221067	3	129563698	129563791
ENSG00000221545	1	166234522	166234588
ENSG00000220052	1	48735522	48735995
ENSG00000175741	7	39859911	39861180
ENSG00000209654	11	35370053	35370116
ENSG00000213700	3	48137154	48137712
ENSG00000207792	8	141811845	141811934
ENSG00000218140	7	148662048	148662881
ENSG00000211701	7	38373712	38374181
ENSG00000211700	7	38368990	38369454
ENSG00000211696	7	38336469	38336947
ENSG00000211695	7	38323143	38323618
ENSG00000211694	7	38305937	38306406
ENSG00000211690	7	38275617	38275666
ENSG00000207616	19	58874069	58874151
ENSG00000211689	7	38266214	38271804
ENSG00000211688	7	38262463	38262522
ENSG00000211687	7	38259506	38259555
ENSG00000211686	7	38246150	38255698
ENSG00000199047	5	149092581	149092646
ENSG00000206989	5	137924631	137924698
ENSG00000207166	19	17834397	17834529
ENSG00000213744	7	37381635	37382151
ENSG00000216705	c6_QBL	30106270	30107266
ENSG00000219127	9	14030720	14031860
ENSG00000218508	c6_QBL	32745451	32746282
ENSG00000221017	19	58867034	58867106
ENSG00000213857	22	39800114	39801189
ENSG00000203527	2	16587556	16587937
ENSG00000210769	2	16008263	16008563
ENSG00000203501	12	30864812	30865202
ENSG00000203504	11	31662315	31662790
ENSG00000202198	6	52968377	52968707
ENSG00000207444	14	70934807	70934877
ENSG00000198671	14	73595824	73596181
ENSG00000220087	9	13976174	13977908
ENSG00000207697	4	24130913	24131011
ENSG00000207750	1	100519385	100519452
ENSG00000170468	14	73027476	73029400
ENSG00000213755	5	78842013	78842476
ENSG00000176562	8	89115442	89115847
ENSG00000211034	5	78558853	78559109
ENSG00000207586	12	96481721	96481820
ENSG00000212386	17	72596984	72597170
ENSG00000207424	11	62377711	62377780
ENSG00000199753	17	59577175	59577244
ENSG00000202394	1	172100130	172100206
ENSG00000207804	8	100618040	100618134
ENSG00000203437	10	27429765	27430178
ENSG00000216249	9	13312805	13313654
ENSG00000178550	3	45241621	45242523
ENSG00000205170	8	86859937	86860893
ENSG00000211575	1	94084976	94085055
ENSG00000199038	11	558089	558198
ENSG00000201943	15	22983776	22983856
ENSG00000199127	8	14755318	14755390
ENSG00000201882	X	20064105	20064174
ENSG00000207933	1	154656757	154656845
ENSG00000216614	9	13011698	13012891
ENSG00000200623	15	64582635	64582706
ENSG00000221170	11	93106488	93106578
ENSG00000219535	9	12277320	12278228
ENSG00000221459	X	47132992	47133120
ENSG00000207749	14	100559884	100559946
ENSG00000199744	9	135207132	135207204
ENSG00000213796	17	7598430	7598896
ENSG00000207571	12	52714001	52714096
ENSG00000201838	17	72069311	72069382
ENSG00000183900	5	72778548	72779943
ENSG00000220830	9	11001748	11003096
ENSG00000198983	5	54502117	54502207
ENSG00000212351	1	154162373	154162501
ENSG00000204804	9	46280273	46280681
ENSG00000220580	9	10819752	10820308
ENSG00000210845	5	71182496	71182698
ENSG00000219748	9	10767357	10767525
ENSG00000207181	1	233357741	233357875
ENSG00000206979	X	135789024	135789096
ENSG00000212380	15	23060750	23060830
ENSG00000207197	15	22873291	22873382
ENSG00000207644	19	58864223	58864320
ENSG00000201862	7	72091826	72091927
ENSG00000209451	22	36395417	36395692
ENSG00000207607	1	1093106	1093195
ENSG00000199562	1	10281611	10281717
ENSG00000221634	15	84114731	84114813
ENSG00000207922	3	50185763	50185856
ENSG00000207695	15	77289185	77289268
ENSG00000201569	14	100510896	100510970
ENSG00000221754	14	76802314	76802386
ENSG00000199020	14	100582010	100582084
ENSG00000217783	6	157640332	157641031
ENSG00000218032	9	10522145	10522411
ENSG00000219653	6	64625293	64625621
ENSG00000153287	7	18032974	18033927
ENSG00000213792	3	37292032	37294644
ENSG00000217262	6	29783881	29784303
ENSG00000212607	11	8663562	8663692
ENSG00000222930	NT_113932	53780	53970
ENSG00000207573	7	32739118	32739214
ENSG00000176354	3	37259555	37260047
ENSG00000216672	7	117013497	117013706
ENSG00000217327	1	238237447	238243183
ENSG00000220911	6	29711816	29712099
ENSG00000219521	c6_QBL	29182456	29183231
ENSG00000216892	9	7467045	7468320
ENSG00000219480	c6_COX	29964576	29964725
ENSG00000220485	7	116915027	116915219
ENSG00000220446	6	5236290	5236627
ENSG00000207548	2	56063606	56063715
ENSG00000199158	7	129201768	129201845
ENSG00000221184	10	70189081	70189177
ENSG00000207650	3	196911452	196911548
ENSG00000207612	10	29873939	29874032
ENSG00000199149	13	90801320	90801390
ENSG00000212487	9	138741021	138741152
ENSG00000220077	9	6824386	6825577
ENSG00000220114	c6_QBL	31620408	31621219
ENSG00000202107	1	31194551	31194636
ENSG00000200163	15	22999467	22999548
ENSG00000207634	19	58943702	58943788
ENSG00000200608	14	100504201	100504275
ENSG00000207800	X	137577538	137577620
ENSG00000207862	19	58897803	58897885
ENSG00000222958	6	166842832	166842911
ENSG00000203652	3	30005588	30006080
ENSG00000210819	8	43127276	43127351
ENSG00000220468	9	6724491	6725076
ENSG00000176998	6	29867509	29868506
ENSG00000186105	5	61911023	61912890
ENSG00000217681	2	48020381	48020861
ENSG00000218378	6	29653215	29653504
ENSG00000213891	5	60722252	60723455
ENSG00000213855	16	10112737	10114241
ENSG00000219133	1	202386222	202583049
ENSG00000216913	6	50973290	50973895
ENSG00000125454	17	70780669	70797109
ENSG00000222483	15	81221751	81221877
ENSG00000207974	1	166611386	166611483
ENSG00000217826	9	6665215	6665662
ENSG00000220240	6	87663984	87664120
ENSG00000207783	3	44878384	44878477
ENSG00000199347	1	11890796	11890915
ENSG00000221348	X	32569512	32569597
ENSG00000221091	20	48664580	48664729
ENSG00000207487	11	62376958	62377083
ENSG00000222762	5	68302062	68302335
ENSG00000201957	3	180369565	180369692
ENSG00000217110	6	30709388	30709654
ENSG00000184726	22	29931299	29931515
ENSG00000219894	c6_QBL	30569034	30570403
ENSG00000216685	1	27406008	27406874
ENSG00000217488	6	76377607	76378381
ENSG00000199942	14	100512567	100512641
ENSG00000218154	6	30427172	30427306
ENSG00000175800	11	4356088	4357033
ENSG00000219650	6	29540352	29545562
ENSG00000219396	9	6659004	6660008
ENSG00000219929	9	6652424	6653792
ENSG00000219491	8	36865158	36865986
ENSG00000217141	6	32781879	32782710
ENSG00000220953	7	8944942	8945524
ENSG00000221009	17	55663659	55663789
ENSG00000200833	5	72431656	72431766
ENSG00000218359	6	17690244	17690515
ENSG00000219736	6	75615513	75616920
ENSG00000201902	20	36510141	36510272
ENSG00000207757	7	99529327	99529406
ENSG00000199933	12	100637717	100637827
ENSG00000200181	1	31213598	31213670
ENSG00000201512	20	36491727	36491860
ENSG00000201487	1	76027750	76027821
ENSG00000221745	14	100561654	100561741
ENSG00000207785	X	49659779	49659862
ENSG00000200680	15	22973072	22973153
ENSG00000207973	7	5501976	5502074
ENSG00000200729	1	172101109	172101193
ENSG00000200089	14	100529326	100529400
ENSG00000219297	6	144499280	144499605
ENSG00000205147	6	21191041	21191260
ENSG00000203590	12	2828088	2828493
ENSG00000221282	9	86065534	86065620
ENSG00000207546	12	63302556	63302652
ENSG00000218459	6	74384790	74385041
ENSG00000170389	7	142933077	143017080
ENSG00000221287	5	132791187	132791297
ENSG00000212336	6	82388636	82388755
ENSG00000207601	11	61316543	61316609
ENSG00000220616	1	48563349	48564382
ENSG00000218550	1	1303907	1304275
ENSG00000221476	15	76117928	76117992
ENSG00000207375	15	22888026	22888117
ENSG00000199311	15	23028627	23028708
ENSG00000216431	2	88053290	88053716
ENSG00000216810	9	6558844	6559360
ENSG00000214041	3	9365127	9365876
ENSG00000219517	6	74293188	74293323
ENSG00000214083	7	141634243	141636133
ENSG00000221018	8	39732758	39732864
ENSG00000214318	18	59315202	59315613
ENSG00000207928	17	27701241	27701334
ENSG00000199143	19	58983771	58983839
ENSG00000207738	19	58902519	58902605
