Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000128709	2	176695334	176697770
ENSG00000128710	2	176689738	176692915
ENSG00000128713	2	176680330	176682562
ENSG00000128714	2	176665778	176668912
ENSG00000130675	7	156490308	156496108
ENSG00000131264	X	72583813	72591806
ENSG00000131668	9	95753730	95757474
ENSG00000131721	X	119176495	119181973
ENSG00000132130	17	32368612	32374596
ENSG00000133937	14	94304314	94306252
ENSG00000134138	15	34970519	35189740
ENSG00000134438	18	55085247	55091605
ENSG00000135100	12	119900754	119924695
ENSG00000135638	2	72996897	73015528
ENSG00000135903	2	222772851	222871944
ENSG00000136327	14	36118968	36121537
ENSG00000136352	14	36055357	36059167
ENSG00000136367	14	23059939	23065825
ENSG00000136630	1	219119366	219125018
ENSG00000136944	9	128416550	128498649
ENSG00000137709	11	119616161	119695863
ENSG00000138083	2	45022541	45025894
ENSG00000138136	10	102976723	102978707
ENSG00000139515	13	27392157	27397394
ENSG00000139624	12	48809875	48847412
ENSG00000140836	16	71374285	71639775
ENSG00000143032	1	90950167	90955382
ENSG00000143190	1	165456744	165663206
ENSG00000143355	1	196148244	196168344
ENSG00000143418	1	149204273	149214064
ENSG00000143995	2	66516036	66653395
ENSG00000144355	2	172657715	172662651
ENSG00000147421	8	28803830	28966706
ENSG00000148516	10	31648148	31856740
ENSG00000148704	10	118878022	118887802
ENSG00000148826	10	134448310	134449527
ENSG00000150051	10	28001812	28074753
ENSG00000151615	4	147779495	147783073
ENSG00000151650	10	134901398	134905421
ENSG00000152192	13	78071237	78075696
ENSG00000152804	10	94439661	94445386
ENSG00000153779	X	89063537	89064640
ENSG00000153807	7	27176736	27186405
ENSG00000154227	15	98758123	98902448
ENSG00000156150	1	110404520	110414845
ENSG00000159184	17	44157132	44161110
ENSG00000159387	16	53915173	53922168
ENSG00000159556	15	74416202	74421871
ENSG00000160199	21	43267712	43326757
ENSG00000160967	7	101246012	101713969
ENSG00000162624	1	75366707	75399806
ENSG00000162761	1	163437729	163592576
ENSG00000163064	2	119316217	119322229
ENSG00000163132	4	4912293	4916557
ENSG00000163623	4	85633460	85638411
ENSG00000163666	3	57207265	57209320
ENSG00000164093	4	111758031	111782611
ENSG00000164438	5	170668893	170671742
ENSG00000164778	7	154943585	154950279
ENSG00000164853	7	1239035	1243488
ENSG00000164900	7	150476609	150495800
ENSG00000165156	8	124329878	124355728
ENSG00000165259	X	83459541	83644117
ENSG00000165462	11	71627772	71632852
ENSG00000165495	11	124539769	124808495
ENSG00000165556	13	27434281	27441317
ENSG00000165588	14	56337182	56346940
ENSG00000165606	10	50242243	50273992
ENSG00000167034	8	23592878	23596395
ENSG00000167081	9	127548372	127769477
ENSG00000167157	9	131467741	131524770
ENSG00000168505	2	236739046	236741391
ENSG00000168779	3	159296494	159306630
ENSG00000169554	2	144862055	144994386
ENSG00000169840	13	27264780	27266089
ENSG00000169856	15	50836645	50869501
ENSG00000170166	2	176724359	176726197
ENSG00000170178	2	176672704	176674167
ENSG00000170370	10	119291946	119299043
ENSG00000170549	5	3649168	3654517
ENSG00000170561	5	2798959	2804774
ENSG00000170577	2	45085854	45090046
ENSG00000170689	17	44053527	44058834
ENSG00000171476	4	57208921	57242627
ENSG00000171540	5	76960294	76970278
ENSG00000172292	2	169021005	169339398
ENSG00000172789	12	52713099	52715412
ENSG00000173917	17	43975020	43977392
ENSG00000173976	19	3448813	3723219
ENSG00000174279	2	176653081	176656936
ENSG00000174306	20	39240502	39362153
ENSG00000175325	5	177351842	177355849
ENSG00000175329	22	33792129	33816030
ENSG00000175879	2	176702714	176704977
ENSG00000176654	12	7939360	7943941
ENSG00000176679	Y	3507126	3508080
ENSG00000176842	16	53522612	53525898
ENSG00000177045	19	50959884	50964152
ENSG00000177426	18	3402072	3448404
ENSG00000177508	16	52874713	52877879
ENSG00000178764	8	123863082	124055936
ENSG00000178928	19	52996312	52998673
ENSG00000179528	2	74578153	74583951
ENSG00000179981	18	71051719	71130886
ENSG00000180053	8	23615909	23620056
ENSG00000180318	12	84198165	84219686
ENSG00000180613	4	54660955	54662879
ENSG00000180806	12	52680144	52683383
ENSG00000180818	12	52665213	52670327
ENSG00000182463	20	51022353	51540889
ENSG00000182568	3	18364439	18441828
ENSG00000182742	17	44007869	44010742
ENSG00000183072	5	172591744	172594868
ENSG00000184271	12	49869232	49897744
ENSG00000184302	14	60045622	60048282
ENSG00000184486	6	99389301	99393381
ENSG00000185155	1	224477942	224480189
ENSG00000185610	12	43694806	43731149
ENSG00000185630	1	162795684	163082933
ENSG00000185668	1	38282086	38285053
ENSG00000185960	X	505079	540146
ENSG00000186103	3	122772251	122792159
ENSG00000188013	17	20432963	20434605
ENSG00000188620	10	124885557	124887237
ENSG00000188816	10	124897628	124900178
ENSG00000188909	11	122353488	122357638
ENSG00000196767	X	82649941	82651431
ENSG00000197576	7	27134777	27136877
ENSG00000197587	1	46745255	46752471
ENSG00000197757	12	52696909	52710874
ENSG00000198353	12	52696909	52736081
ENSG00000198914	2	104838401	104839903
ENSG00000203766	10	135347172	135347681
ENSG00000203767	10	135343873	135344382
ENSG00000203768	10	135340563	135341072
ENSG00000203769	10	135337264	135337773
ENSG00000203770	10	135333955	135334464
ENSG00000203771	10	135330645	135331154
ENSG00000203989	X	119090257	119095735
ENSG00000204304	6	32260488	32265941
ENSG00000204527	19	62354906	62370668
ENSG00000204531	6	31240094	31246430
ENSG00000204595	19	58827122	58832075
ENSG00000205094	4	191246141	191247415
ENSG00000205095	4	191229661	191230935
ENSG00000205857	12	7809079	7817984
ENSG00000205922	19	1704662	1726444
ENSG00000206247	c6_COX	32248241	32253691
ENSG00000206315	c6_QBL	32252986	32258437
ENSG00000206349	c6_COX	31271917	31278291
ENSG00000206454	c6_QBL	31267422	31273795
ENSG00000212638	4	191242841	191244115
ENSG00000212640	4	191232954	191234228
ENSG00000212993	8	128497039	128498621
ENSG00000213921	19	44959075	44968426
ENSG00000214325	16	74285829	74291521
ENSG00000214513	2	73283327	73291565
ENSG00000215271	14	22812684	22825149
ENSG00000215612	NT_113886	39405	44175
